0,brand,category,overall_reviews,overall_star,star5,star4,star3,star2,star1,value_for_money,value_for_money_num,product_quality,product_quality_num,customer_service,customer_service_num
Wild Earth,wild-earth,,,,,,,,,,,,,,
Agoda.com,agoda-com,,,,,,,,,,,,,,
Matt Blatt,matt-blatt,,,,,,,,,,,,,,
Trip.com,trip-com,,,,,,,,,,,,,,
Specsavers Contact Lenses,specsavers-contact-lenses,,,,,,,,,,,,,,
La Mer,la-mer,,,,,,,,,,,,,,
kikki.K,kikki-k,,,,,,,,,,,,,,
Australia Post Travel Insurance,australia-post-travel-insurance,,,,,,,,,,,,,,
Fast Cover Travel Insurance,fast-cover-travel-insurance,,,,,,,,,,,,,,
InsureandGo,insureandgo,,,,,,,,,,,,,,
Woolworths,woolworths,,,,,,,,,,,,,,
Compare the Market,compare-the-market,,,,,,,,,,,,,,
Viator,viator,,,,,,,,,,,,,,
Cover-More,cover-more,,,,,,,,,,,,,,
Rental Cover,rental-cover,,,,,,,,,,,,,,
Travel Insurance Direct,travel-insurance-direct,,,,,,,,,,,,,,
Emirates,emirates,,,,,,,,,,,,,,
Tick Travel Insurance,tick-travel-insurance,,,,,,,,,,,,,,
Air New Zealand,air-new-zealand,,,,,,,,,,,,,,
Travel With Kit,travel-with-kit,,,,,,,,,,,,,,
Travel With Jane,travel-with-jane,,,,,,,,,,,,,,
Bardot ,bardot-,,,,,,,,,,,,,,
Travelex,travelex,,,,,,,,,,,,,,
Moo,moo,,,,,,,,,,,,,,
ClassBento,classbento,,,,,,,,,,,,,,
Freedom,freedom,,,,,,,,,,,,,,
Macys,macys,,,,,,,,,,,,,,
Dorothy Perkins,dorothy-perkins,,,,,,,,,,,,,,
Petals,petals,,,,,,,,,,,,,,
Hawaiian Airlines,hawaiian-airlines,,,,,,,,,,,,,,
YP Threads,yp-threads,,,,,,,,,,,,,,
Jeanswest,jeanswest,,,,,,,,,,,,,,
Threadicated,threadicated,,,,,,,,,,,,,,
RAW Cartridges,raw-cartridges,,,,,,,,,,,,,,
StubHub,stubhub,,,,,,,,,,,,,,
DriveMyCar,drivemycar,,,,,,,,,,,,,,
Tigerlily,tigerlily,,,,,,,,,,,,,,
Step One Clothing,step-one-clothing,,,,,,,,,,,,,,
UBER Rider,uber-rider,,,,,,,,,,,,,,
Valleygirl,valleygirl,,,,,,,,,,,,,,
Virgin Wines,virgin-wines,,,,,,,,,,,,,,
Dan Murphy's In-Store,dan-murphy-s-in-store,,,,,,,,,,,,,,
Alibaba,alibaba,,,,,,,,,,,,,,
Marks & Spencer,marks-&-spencer,,,,,,,,,,,,,,
Razer,razer,,,,,,,,,,,,,,
Be.nutrients,be-nutrients,,,,,,,,,,,,,,
Strawberry Net,strawberry-net,,,,,,,,,,,,,,
Uber Eats Delivery,uber-eats-delivery,,,,,,,,,,,,,,
Spotlight on eBay,spotlight-on-ebay,,,,,,,,,,,,,,
Apple Music,apple-music,,,,,,,,,,,,,,
Volley,volley,,,,,,,,,,,,,,
Woofer Gear,woofer-gear,,,,,,,,,,,,,,
Huddle Insurance,huddle-insurance,,,,,,,,,,,,,,
Winemarket,winemarket,,,,,,,,,,,,,,
UNIQLO,uniqlo,,,,,,,,,,,,,,
City Chic,city-chic,,,,,,,,,,,,,,
Plush,plush,,,,,,,,,,,,,,
STA Travel,sta-travel,,,,,,,,,,,,,,
UBER Driver Partner,uber-driver-partner,,,,,,,,,,,,,,
Sunnylife,sunnylife,,,,,,,,,,,,,,
MyDeal,mydeal,,,,,,,,,,,,,,
Harrods,harrods,,,,,,,,,,,,,,
Rays,rays,,,,,,,,,,,,,,
Samantha Wills,samantha-wills,,,,,,,,,,,,,,
WPN. Activewear,wpn-activewear,,,,,,,,,,,,,,
Samsung,samsung,,,,,,,,,,,,,,
Brickx,brickx,,,,,,,,,,,,,,
Harris Farm,harris-farm,,,,,,,,,,,,,,
Mr Porter,mr-porter,,,,,,,,,,,,,,
Country Road,country-road,,,,,,,,,,,,,,
Pumpkin Patch,pumpkin-patch,,,,,,,,,,,,,,
2nds World,2nds-world,,,,,,,,,,,,,,
Paulas Choice,paulas-choice,,,,,,,,,,,,,,
Wrapped,wrapped,,,,,,,,,,,,,,
Aussie Farmers Direct,aussie-farmers-direct,,,,,,,,,,,,,,
Flowers For Everyone,flowers-for-everyone,,,,,,,,,,,,,,
Simply Wholesale,simply-wholesale,,,,,,,,,,,,,,
Ambrose Coffee,ambrose-coffee,,,,,,,,,,,,,,
Swanky Socks,swanky-socks,,,,,,,,,,,,,,
DJI Innovations,dji-innovations,,,,,,,,,,,,,,
HUMMINGBIRD,hummingbird,,,,,,,,,,,,,,
Pharmacy 4 Less,pharmacy-4-less,,,,,,,,,,,,,,
Foodora,foodora,,,,,,,,,,,,,,
Peter Alexander,peter-alexander,clothing-shops-brands,272,2.0,41,16,14,42,159,,,,,,
Sportsgirl,sportsgirl,,,,,,,,,,,,,,
K Stars,k-stars,,,,,,,,,,,,,,
Tinklers,tinklers,,,,,,,,,,,,,,
TableTopics,tabletopics,,,,,,,,,,,,,,
Country Culture,country-culture,,,,,,,,,,,,,,
Sputnik Vintage,sputnik-vintage,,,,,,,,,,,,,,
Makolette,makolette,,,,,,,,,,,,,,
